,Brand,Model,Category,Price,Country,Link
150,Xiaomi,Mi9 6/128GB Purple ,смартфон,41990,China,https://hatewait.ru/product/xiaomi_mi9_6_128gb_purple.aspx
151,OnePlus,6 8/128GB Midnight Black (черный матовый) ,смартфон,26900,China,https://hatewait.ru/product/oneplus_6_8_128gb_midnight_black_chernyj_matovyj.aspx
152,Apple,iPhone Xr 128GB Black ,смартфон,54400,USA,https://hatewait.ru/product/apple_iphone_xr_128gb_black.aspx
153,LG,G6 64GB gold ,смартфон,24680,South Korea,https://hatewait.ru/product/lg_g6_64gb_gold.aspx
154,Google,Pixel 2 XL 128GB Black ,смартфон,49750,USA,https://hatewait.ru/product/google_pixel_2_xl_128gb_black.aspx
155,Xiaomi,"Mi Notebook Air 13.3"" 2018 (Intel Core i5 8250U 1600 MHz/13.3""/1920x1080/8GB/256GB SSD/DVD нет/NVIDIA GeForce MX150/Wi-Fi/Bluetooth/Windows 10 Home) Gray Global ",ноутбук,56490,China,https://hatewait.ru/product/noutbuk_xiaomi_mi_notebook_air_133_2018_intel_core_i5_8250u_1600_mhz_133_1920x1080_8gb_256gb_ssd_dvd_net_nvidia_geforce_mx150_wi-fi_bluetooth_windows_10_home_gray_global.aspx
156,Xiaomi,Redmi Note 7 4/64Gb Black Global ,смартфон,13250,China,https://hatewait.ru/product/xiaomi_redmi_note_7_4_64gb_black.aspx
157,Huawei,P20 128Gb Black ,смартфон,37250,China,https://hatewait.ru/product/huawei_p20_128gb_black.aspx
158,Samsung,Gear Sport black ,умные часы,12010,South Korea,https://hatewait.ru/product/samsung_gear_sport.aspx
159,Xiaomi,"Mi Gaming Laptop Enhanced Edition (Intel Core i5 8300H 2300 MHz/15.6""/1920x1080/8GB/1256GB HDD+SSD/NVIDIA GeForce GTX 1050 Ti/Windows 10 Home) ",игровой ноутбук,70000,China,https://hatewait.ru/product/xiaomi_mi_gaming_laptop_enhanced_edition_intel_core_i5_8300h_2300_mhz_156_1920x1080_8gb_1256gb_hdd-ssd_nvidia_geforce_gtx_1050_ti_windows_10_home.aspx
160,Xiaomi,"Mi Gaming Laptop (Intel Core i5 7300HQ 2500 MHz/15.6""/1920x1080/8GB/1128GB HDD+SSD/DVD нет/NVIDIA GeForce GTX 1060/Wi-Fi/Bluetooth/Windows 10 Home) ",игровой ноутбук,66800,China,https://hatewait.ru/product/noutbuk_xiaomi_mi_gaming_laptop_intel_core_i5_7300hq_2500_mhz_156_1920x1080_8gb_1128gb_hdd-ssd_dvd_net_nvidia_geforce_gtx_1060_wi-fi_bluetooth_windows_10_home.aspx
161,Apple,iPhone Xr 256GB Black ,смартфон,61490,USA,https://hatewait.ru/product/apple_iphone_xr_256gb_black.aspx
162,OnePlus,6T 8/128GB Midnight Black (Матовый черный) ,cмартфон,33650,China,https://hatewait.ru/product/oneplus_6t_8_128gb_a6010_midnight_black.aspx
163,Samsung,Galaxy S9 64Gb Coral Blue ,смартфон,31430,South Korea,https://hatewait.ru/product/samsung_galaxy_s9_64gb_coral_blue.aspx
164,Apple,iPhone Xr 64GB Red ,смартфон,49510,USA,https://hatewait.ru/product/apple_iphone_xr_64gb_red.aspx
165,Lightning,+ 3.5mm jack (адаптер) ,Аудио переходник ,1290,,https://hatewait.ru/product/audio_perexodnik_lightning_-_35mm_jack_adapter.aspx
166,Xiaomi,Mi8 6/64GB White Global ,смартфон,25490,China,https://hatewait.ru/product/xiaomi_mi8_6_64gb_white_global.aspx
167,GarmiH,Fenix 5X Plus Sapphire Black ,умные часы,52990,USA,https://hatewait.ru/product/garmih_fenix_5x_plus_sapphire_black.aspx
168,Apple,iPhone Xr 128GB Dual Sim Blue ,смартфон,55490,USA,https://hatewait.ru/product/apple_iphone_xr_128gb_dual_sim_blue.aspx
169,Huawei,Mate 20 6/128GB Blue ,смартфон,37170,China,https://hatewait.ru/product/huawei_mate_20_6_128gb_blue.aspx
170,USB-С,32Gb,Flash накопитель,1890,,https://hatewait.ru/product/usb-s_flash_nakopitel_32gb.aspx
171,microSD,128Gb ,Карта памяти ,2990,,https://hatewait.ru/product/karta_pamyati_microsd_128gb.aspx
172,Garmih,Vivoactive 3 Black ,умные часы,16300,,https://hatewait.ru/product/garmih_vivoactive_3_black.aspx
173,LG,V40 ThinQ 6/128Gb Серый ,смартфон,39540,South Korea,https://hatewait.ru/product/lg_v40_thinq_6_128gb_seryj.aspx
174,Samsung,Galaxy S9+ 64Gb Черный бриллиант ,смартфон,37890,South Korea,https://hatewait.ru/product/samsung_galaxy_s9-_64gb_midnight_black.aspx
175,GarmiH,Forerunner 235 Gray ,умные часы,14290,USA,https://hatewait.ru/product/garmih_forerunner_235_gray.aspx
176,Samsung,Galaxy S10 8/128Gb Оникс ,смартфон,48940,South Korea,https://hatewait.ru/product/samsung_galaxy_s10_8_128gb_oniks.aspx
177,Google,Pixel XL 32Gb Quite Black ,cмартфон,34490,USA,https://hatewait.ru/product/smartfon_google_pixel_xl_32gb_quite_black.aspx
178,Xiaomi,Mi9 6/128GB Black Global ,смартфон,34620,China,https://hatewait.ru/product/xiaomi_mi9_6_128gb_black.aspx
179,OnePlus,6 8/256GB Midnight Black (черный матовый) ,смартфон,29390,China,https://hatewait.ru/product/oneplus_6_8_256gb_midnight_black_chernyj_matovyj.aspx
180,Samsung,Galaxy Watch (46 mm) Silver ,умные часы,16140,South Korea,https://hatewait.ru/product/samsung_galaxy_watch_46_mm_silver.aspx
181,Samsung,Gear Fit2 Pro Black ,фитнес-браслет,8750,South Korea,https://hatewait.ru/product/braslet_samsung_gear_fit2_pro.aspx
182,Xiaomi,Mi9 6/64GB Blue ,смартфон,31340,China,https://hatewait.ru/product/xiaomi_mi9_6_64gb_blue.aspx
183,Samsung,Galaxy S9 128GB черный бриллиант ,смартфон,33800,South Korea,https://hatewait.ru/product/samsung_galaxy_s9_128gb_black.aspx
184,Noname,20000mAh для ноутбуков с поддержкой быстрой зарядки на 2 устройства ,Внешний аккумулятор ,2990,,https://hatewait.ru/product/vneshnij_akkumulyator_20000_mah_dlya_noutbukov_s_podderzhkoj_bystroj_zaryadki_na_2_ustrojstva_.aspx
185,Samsung,Galaxy S8 (SM-G950FD) Maple Gold (Желтый топаз) ,смартфон,24450,South Korea,https://hatewait.ru/product/samsung_galaxy_s8_sm-g950f_maple_gold_zheltyj_topaz.aspx
186,Apple,Watch Series 4 GPS 40mm Silver Aluminum Case with Seashell Sport Loop ,умные часы,28900,USA,https://hatewait.ru/product/apple_watch_series_4_gps_40mm_silver_aluminum_case_with_white_sport_loop.aspx
187,Noname,10000mAh ,Внешний аккумулятор ,1490,,https://hatewait.ru/product/vneshnij_akkumulyator_10000_mah.aspx
188,LG,V30+ Black ,смартфон,26280,South Korea,https://hatewait.ru/product/lg_v30-_black.aspx
189,Apple,Watch Series 4 GPS 40mm Space Gray Aluminum Case with Black Sport Band (MU662) ,умные часы,31550,USA,https://hatewait.ru/product/apple_watch_series_4_gps_40mm_aluminum_case_with_sport_band.aspx
190,Xiaomi,Mi9 6/64GB Black Global ,смартфон,31350,China,https://hatewait.ru/product/xiaomi_mi9_6_64gb_black_global.aspx
191,Xiaomi,"Mi Gaming Laptop Enhanced Edition (Intel Core i7 8750H 2200 MHz/15.6""/1920x1080/16GB/1256GB HDD+SSD/DVD нет/NVIDIA GeForce GTX 1060/Wi-Fi/Bluetooth/Windows 10 Home) ",игровой ноутбук,91850,China,https://hatewait.ru/product/xiaomi_mi_gaming_laptop_enhanced_edition_intel_core_i7_8750h_2200_mhz_156_1920x1080_16gb_1256gb_hdd-ssd_nvidia_geforce_gtx_1060_windows_10_home.aspx
192,Apple,iPhone Xr 64GB White ,смартфон,53490,USA,https://hatewait.ru/product/apple_iphone_xr_64gb_white.aspx
193,Beats,X Wireless Black ,Bluetooth-наушники с микрофоном,7150,USA,https://hatewait.ru/product/naushniki_beats_x_wireless_black.aspx
194,LG,G6 64GB platinum ,смартфон,25850,South Korea,https://hatewait.ru/product/lg_g6_64gb_platinum.aspx
195,Xiaomi,AirDots Pro ,Bluetooth-наушники с микрофоном,6540,China,https://hatewait.ru/product/naushniki_xiaomi_airdots_pro.aspx
196,LG,G6 64GB black ,смартфон,24720,South Korea,https://hatewait.ru/product/lg_g6_64gb_black.aspx
197,Apple,iPhone Xs Max 64GB Dual SIM White ,смартфон,82880,USA,https://hatewait.ru/product/apple_iphone_xs_max_64gb_white.aspx
198,Xiaomi,Mi8 6/64GB Black ,смартфон,20820,China,https://hatewait.ru/product/xiaomi_mi8_6_64gb_black.aspx
199,Apple,AirPods 2 (беспроводная зарядка чехла) ,Bluetooth-наушники с микрофоном,14190,USA,https://hatewait.ru/product/naushniki_apple_airpods_2_besprovodnaya_zaryadka_chexla.aspx
200,LG,G6 H870S White ,cмартфон,26300,South Korea,https://hatewait.ru/product/lg_g6_h870s_white.aspx
201,Huawei,Mate 10 Pro 6/128GB Dual Sim Brown (L29) ,смартфон,38700,China,https://hatewait.ru/product/_huawei_mate_10_pro_6_128gb_dual_sim_brown_l29.aspx
202,Google,Pixel XL 32Gb Very Silver ,cмартфон,31950,USA,https://hatewait.ru/product/smartfon_google_pixel_xl_32gb_very_silver.aspx
203,Samsung,Galaxy S10 8/128Gb Сапфир ,смартфон,48950,South Korea,https://hatewait.ru/product/samsung_galaxy_s10_8_128gb_sinyaya_prizma.aspx
204,Samsung,Gear Sport Blue ,умные часы,11550,South Korea,https://hatewait.ru/product/smart_chasy_samsung_gear_sport_blue.aspx
205,GarmiH,Vivoactive HR black ,умные часы,14990,USA,https://hatewait.ru/product/garmih_vivoactive_hr_black.aspx
206,Apple,iPhone Xr 128GB Dual Sim Coral ,смартфон,55490,USA,https://hatewait.ru/product/apple_iphone_xr_128gb_dual_sim_coral.aspx
207,Apple,Watch Series 4 GPS 40mm Silver Aluminum Case with White Sport Band (MU642) ,умные часы,26700,USA,https://hatewait.ru/product/apple_watch_series_4_gps_40mm_silver_aluminum_case_with_white_sport_band.aspx
208,Sony,Xperia XZ2 Black ,смартфон,35330,Japan,https://hatewait.ru/product/sony_xperia_xz2_black.aspx
209,Xiaomi,Mi8 6/64GB Blue Global ,смартфон,23990,China,https://hatewait.ru/product/xiaomi_mi8_6_64gb_blue_global.aspx
210,Google,Pixel 128Gb Quite Black ,cмартфон,27900,USA,https://hatewait.ru/product/smartfon_google_pixel_128gb_quite_black.aspx
211,LG,G6 Plus H870DSU 128Gb Black ,cмартфон,25290,South Korea,https://hatewait.ru/product/lg_g6_plus_h870dsu_128gb_black.aspx
212,Samsung,Galaxy Note 8 64Gb Midnight Black ,смартфон,34130,South Korea,https://hatewait.ru/product/samsung_galaxy_note_8_midnight_black.aspx
213,Apple,"MacBook 12"" Early 2015 MJY32 Space gray (256Gb) ",cмартфон,74690,USA,https://hatewait.ru/product/apple_macbook_early_2015_space_gray_256gb.aspx
214,LG,G6 Plus H870DSU 128Gb Blue ,cмартфон,27900,South Korea,https://hatewait.ru/product/lg_g6_plus_h870dsu_128gb_blue.aspx
